id,month,bank_name,inward_interbank_volume,inward_costumer_volume,inward_total_volume,inward_percentage_volume,inward_interbank_amt,inward_costumer_amt,inward_total_amt,inward_percentage_amt,outward_interbank_volume,outward_costumer_volume,outward_total_volume,outward_percentage_volume,outward_interbank_amt,outward_costumer_amt,outward_total_amt,outward_percentage_amt
23687,01/06/2020,Dombivli Nagrik Co-operative Bank,70,1536,1606,0.01,2490.62,31818.04,34308.66,0,0,3107,3107,0.03,,62909.35,62909.35,0.01
23688,01/06/2020,Durgapur Steel Peoples Co-operative Bank,19,47,66,0,1503.59,319.46,1823.05,0,0,252,252,0,,4575.1,4575.1,0
23689,01/06/2020,Emirates NBD Bank,83,84,167,0,17262.48,38500.76,55763.24,0.01,37,149,186,0,29636.62,170845.62,200482.23,0.02
23690,01/06/2020,Equitas Small Finance Bank,168,7926,8094,0.07,34124.36,151816.41,185940.78,0.02,16,10230,10246,0.09,49.9,247379.97,247429.87,0.03
23691,01/06/2020,ESAF Small Finance Bank,55,1952,2007,0.02,42982.46,49158.84,92141.3,0.01,195,3531,3726,0.03,45306.52,56018.32,101324.84,0.01
23692,01/06/2020,Export Import Bank of India,1,217,218,0,384.54,1577802.78,1578187.31,0.18,19,47,66,0,359464.28,663184.54,1022648.82,0.12
23693,01/06/2020,Federal Bank,2444,100598,103042,0.86,1068360.76,2865961.37,3934322.13,0.45,2018,127832,129850,1.08,961817.2,3175497.79,4137314.99,0.48
23694,01/06/2020,Fincare Small Finance Bank,29,1016,1045,0.01,110205.52,20977.88,131183.4,0.02,26,1578,1604,0.01,125002,63856.67,188858.67,0.02
23695,01/06/2020,Fino Payments Bank,0,2862,2862,0.02,,176015.54,176015.54,0.02,0,2636,2636,0.02,,238761.62,238761.62,0.03
23696,01/06/2020,First Abu Dhabi Bank PJSC,4,41,45,0,4942.82,83913.22,88856.05,0.01,7,38,45,0,48446.6,99837.04,148283.64,0.02
23697,01/06/2020,First Rand Bank,9,58,67,0,2580.67,26134.08,28714.75,0,3,68,71,0,21333.48,27271.42,48604.9,0.01
23698,01/06/2020,Goldman Sachs India Capital Markets Pvt.,0,27,27,0,,1082000,1082000,0.13,23,0,23,0,1082420,,1082420,0.13
23699,01/06/2020,GP Parsik Janata Co-operative Bank,44,2704,2748,0.02,130126.64,29487.81,159614.45,0.02,0,3924,3924,0.03,,159812.05,159812.05,0.02
23700,01/06/2020,GS Mahanagar Co-operative Bank Mumbai,29,1489,1518,0.01,10728.58,20048.88,30777.46,0,0,3015,3015,0.03,,34982.87,34982.87,0
23701,01/06/2020,HDFC Bank,7480,2202856,2210336,18.47,3245827.24,168449844.3,171695671.5,19.84,7088,1654468,1661556,13.88,1341960.5,166335333.5,167677294,19.38
23718,01/06/2020,Janaseva Co-operative Bank Borivli,11,248,259,0,30508.07,12808.42,43316.49,0.01,0,370,370,0,,45664.98,45664.98,0.01
